Voltage (V),Current (A)
-0.50017,21.167904
-0.489963,17.107923
-0.479755,14.8679335
-0.469548,13.32794
-0.45934,12.2219445
-0.449133,11.283949
-0.438925,10.457953
-0.428717,9.8769555
-0.41851,9.351958
-0.408302,8.80596
-0.398095,8.434961999999999
-0.387887,8.1199635
-0.37768,7.794465000000001
-0.367472,7.5424655000000005
-0.357264,7.3884675
-0.347057,7.2064675000000005
-0.336849,7.0209685
-0.326642,6.9719685
-0.316434,6.898469
-0.306227,6.793469
-0.296019,6.76722
-0.285811,6.758469
-0.275604,6.7182200000000005
-0.265396,6.69022
-0.255189,6.7287195
-0.244981,6.724345
-0.234774,6.696345
-0.224566,6.7400945
-0.214358,6.772031999999999
-0.204151,6.761094
-0.193943,6.798719500000001
-0.183736,6.863906500000001
-0.173528,6.892344
-0.163321,6.944406000000001
-0.153113,7.075218
-0.142905,7.207342499999999
-0.132698,7.349967
-0.12249,7.6444030000000005
-0.112283,8.0119015
-0.102075,8.432774
-0.091868136,9.010272
-0.08166056,9.766269000000001
-0.071452992,10.60539
-0.06124542,11.560886
-0.051037852,12.7119425
-0.04083028,13.911124999999998
-0.03062271,15.042932
-0.02041514,16.3335525
-0.01020757,17.5629205
0.0,18.6374165
0.01020757,19.6821615
0.02041514,20.768031
0.03062271,21.641277000000002
0.04083028,22.319399
0.051037852,23.177771
0.06124542,23.826143000000002
0.071452992,24.198891
0.08166056,24.624138000000002
0.091868136,24.916387
0.102075,24.897137999999998
0.112283,24.687139000000002
0.12249,24.485889
0.132698,23.987142
0.142905,23.225895
0.153113,22.630898000000002
0.163321,21.913401
0.173528,21.076904499999998
0.183736,20.3716595
0.193943,19.8134115
0.204151,19.237664
0.214358,18.714416
0.224566,18.4659165
0.234774,18.182419
0.244981,17.83242
0.255189,17.72392
0.265396,17.6399205
0.275604,17.459671
0.285811,17.3739215
0.296019,17.421171
0.306227,17.373922
0.316434,17.242673
0.326642,17.377422
0.336849,17.4229225
0.347057,17.38748425
0.357264,17.4264215
0.367472,17.5366715
0.37768,17.5156715
0.387887,17.508671
0.398095,17.6854205
0.408302,17.73092
0.41851,17.74667025
0.428717,17.8796695
0.438925,18.016168999999998
0.449133,18.026668
0.45934,18.205168
0.469548,18.504417
0.479755,18.740665
0.489963,19.034664
0.50017,19.598162000000002
